game_id,local_title,bgg_id,bgg_primary_name,bgg_item_type,proposed_is_expansion,current_url_kind,has_expansion_category,current_is_expansion,confidence,requires_manual_review,reason
93aaf7b6-5dab-4a94-bb88-56378f7247ef,Hegemony: Lead Your Class to Victory,321608,Hegemony: Lead Your Class to Victory,boardgame,false,boardgame,false,,high,false,BGG jednoznacznie: boardgame
7151416f-6581-4640-b303-42e7ae994b45,Hegemony: Lead Your Class to Victory,321608,Hegemony: Lead Your Class to Victory,boardgame,false,boardgame,false,,high,false,BGG jednoznacznie: boardgame
17725e0b-35c6-4a65-b21f-117afda70da4,Hegemony: Lead Your Class to Victory – Crisis & Control,374250,Hegemony: Lead Your Class to Victory – Crisis & Control,boardgameexpansion,true,boardgameexpansion,true,,high,false,BGG jednoznacznie: boardgameexpansion
b6aca7a6-b6bf-425f-981e-72fcb899261e,Heroes of Might and Magic III: The Board Game –  Big Box,355326,Heroes of Might and Magic III: The Board Game,boardgame,false,boardgame,false,,high,false,BGG jednoznacznie: boardgame
f9e96585-c6dd-4c2a-8ada-58654f34ad9b,Heroes of Might and Magic III: The Board Game – Battlefield Expansion,413367,Heroes of Might and Magic III: The Board Game – Battlefield Expansion,boardgameexpansion,true,boardgameexpansion,true,,high,false,BGG jednoznacznie: boardgameexpansion
7b5213d2-5a77-4907-9df9-98e25af8ebe9,Heroes of Might and Magic III: The Board Game – Conflux Expansion,423895,Heroes of Might and Magic III: The Board Game – Conflux Expansion,boardgameexpansion,true,boardgameexpansion,true,,high,false,BGG jednoznacznie: boardgameexpansion
42358f67-e717-49a2-b42a-ae78c306d192,Heroes of Might and Magic III: The Board Game – Cove Expansion,423897,Heroes of Might and Magic III: The Board Game – Cove Expansion,boardgameexpansion,true,boardgameexpansion,true,,high,false,BGG jednoznacznie: boardgameexpansion
770653c6-fd29-4f1a-96f1-5244f82e86cb,Heroes of Might and Magic III: The Board Game – Fortress Expansion,412071,Heroes of Might and Magic III: The Board Game – Fortress Expansion,boardgameexpansion,true,boardgameexpansion,true,,high,false,BGG jednoznacznie: boardgameexpansion
d76fa786-5dbb-4cf8-a907-c64a3abeb778,Heroes of Might and Magic III: The Board Game – Inferno Expansion,412073,Heroes of Might and Magic III: The Board Game – Inferno Expansion,boardgameexpansion,true,boardgameexpansion,true,,high,false,BGG jednoznacznie: boardgameexpansion
9de3a6c3-f98a-4658-9760-b8f51398cd6b,Heroes of Might and Magic III: The Board Game – Rampart Expansion,412072,Heroes of Might and Magic III: The Board Game – Rampart Expansion,boardgameexpansion,true,boardgameexpansion,true,,high,false,BGG jednoznacznie: boardgameexpansion
